label=AudioBG-40ms intervalMs=40.000 duration=3600.000s
t(ms),dt(ms)
40.223,40.223
80.095,39.872
121.034,40.940
161.098,40.064
200.550,39.452
240.184,39.634
281.144,40.961
321.086,39.941
361.535,40.450
403.888,42.353
442.958,39.070
480.275,37.317
522.717,42.441
562.727,40.010
602.781,40.054
642.706,39.925
685.053,42.347
721.851,36.799
762.878,41.027
803.142,40.264
845.098,41.955
884.621,39.523
922.099,37.479
962.753,40.653
1003.545,40.792
1041.378,37.833
1085.078,43.700
1122.713,37.635
1162.723,40.009
1203.866,41.143
1242.728,38.862
1285.130,42.402
1321.350,36.220
1362.786,41.436
1404.186,41.401
1444.998,40.812
1484.937,39.939
1522.670,37.733
1562.871,40.200
1604.438,41.567
1640.505,36.067
1685.079,44.574
1725.086,40.007
1762.974,37.889
1804.738,41.763
1842.703,37.965
1885.131,42.428
1923.669,38.538
1964.980,41.312
2005.102,40.121
2040.534,35.432
2085.063,44.529
2122.719,37.655
2162.713,39.995
2205.098,42.385
2242.714,37.616
2285.128,42.414
2325.125,39.997
2362.886,37.761
2401.468,38.582
2442.712,41.244
2485.174,42.462
2525.069,39.895
2562.905,37.836
2602.519,39.614
2641.014,38.495
2685.118,44.103
2721.851,36.733
2762.877,41.026
2802.710,39.834
2842.705,39.995
2881.435,38.730
2923.252,41.817
2962.901,39.649
3002.710,39.809
3042.189,39.479
3085.131,42.941
3122.039,36.908
3162.913,40.874
3202.720,39.808
3242.706,39.985
3280.599,37.893
3325.079,44.480
3362.902,37.823
3402.698,39.795
3445.087,42.389
3482.816,37.729
3525.029,42.213
3562.879,37.850
3602.713,39.833
3642.646,39.934
3683.870,41.224
3725.079,41.209
3762.962,37.882
3802.717,39.755
3842.713,39.996
3885.066,42.354
3924.904,39.838
3960.382,35.478
4002.714,42.332
4043.647,40.933
4084.787,41.141
4122.714,37.927
4160.486,37.772
4202.708,42.221
4241.060,38.352
4285.070,44.010
4323.332,38.262
4360.822,37.490
4402.715,41.893
4445.103,42.388
4482.714,37.611
4523.382,40.668
4561.146,37.764
4602.681,41.535
4645.075,42.395
4685.055,39.980
4723.375,38.320
4761.459,38.084
4802.726,41.267
4841.396,38.670
4885.140,43.745
4922.768,37.628
4961.966,39.198
5001.031,39.065
5045.134,44.103
5085.140,40.006
5122.898,37.758
5162.086,39.188
5202.742,40.655
5245.146,42.405
5285.091,39.945
5322.859,37.767
5362.437,39.578
5405.145,42.709
5445.168,40.023
5482.740,37.572
5522.894,40.154
5562.645,39.751
5602.722,40.077
5644.264,41.542
5682.669,38.405
5722.138,39.468
5763.066,40.928
5802.669,39.603
5840.464,37.795
5885.138,44.674
5922.930,37.791
5963.401,40.472
6002.748,39.347
6043.604,40.856
6085.069,41.465
6122.916,37.847
6163.775,40.860
6202.771,38.996
6244.710,41.939
6285.066,40.356
6322.672,37.606
6364.018,41.346
6402.642,38.624
6443.627,40.985
6485.090,41.464
6522.781,37.691
6566.902,44.121
6602.658,35.756
6643.605,40.947
6685.067,41.462
6722.120,37.053
6764.670,42.550
6802.669,37.999
6845.065,42.396
6885.148,40.083
6922.093,36.945
6964.945,42.852
7002.633,37.687
7044.346,41.714
7084.036,39.690
7122.847,38.811
7161.029,38.182
7202.720,41.692
7244.349,41.628
7285.148,40.799
7322.837,37.689
7360.984,38.147
7402.733,41.749
7444.321,41.588
7480.352,36.031
7522.816,42.465
7561.013,38.196
7600.666,39.653
7644.405,43.739
7680.671,36.266
7722.163,41.493
7761.026,38.863
7805.253,44.227
7844.315,39.062
7881.144,36.829
7922.841,41.697
7964.481,41.640
8005.151,40.669
8044.397,39.246
8081.298,36.901
8122.883,41.585
8161.057,38.174
8203.887,42.830
8244.352,40.465
8281.641,37.289
8322.879,41.238
8361.025,38.146
8401.324,40.300
8443.963,42.639
8481.882,37.919
8522.822,40.940
8560.997,38.175
8607.868,46.871
8644.335,36.467
8682.246,37.911
