label=NiceThread-40ms intervalMs=40.000 duration=3600.000s
t(ms),dt(ms)
40.933,40.933
83.599,42.666
125.019,41.419
166.139,41.121
206.378,40.239
251.529,45.150
296.650,45.121
340.678,44.027
385.751,45.073
426.766,41.015
467.251,40.485
511.070,43.819
556.250,45.180
597.661,41.411
640.946,43.285
681.134,40.187
726.231,45.097
771.010,44.779
814.731,43.722
859.856,45.124
905.019,45.163
950.161,45.142
995.280,45.119
1040.429,45.149
1085.557,45.127
1127.681,42.125
1172.732,45.051
1217.778,45.045
1261.001,43.223
1306.146,45.145
1351.216,45.070
1393.395,42.179
1438.460,45.065
1483.530,45.069
1524.049,40.520
1569.180,45.131
1614.295,45.114
1659.354,45.059
1704.428,45.074
1749.495,45.067
1794.557,45.062
1839.608,45.051
1884.660,45.052
1929.457,44.796
1970.754,41.298
2015.827,45.073
2056.256,40.429
2101.311,45.055
2145.856,44.545
2190.897,45.041
2235.997,45.100
2281.045,45.048
2326.131,45.086
2371.195,45.064
2412.995,41.800
2454.910,41.915
2499.958,45.049
2545.021,45.062
2590.076,45.056
2635.129,45.052
2680.170,45.042
2725.228,45.058
2770.341,45.113
2815.387,45.045
2860.505,45.119
2905.631,45.126
2950.677,45.046
2995.738,45.061
3040.868,45.129
3085.939,45.071
3130.993,45.055
3176.108,45.115
3220.985,44.877
3263.109,42.124
3308.156,45.046
3353.223,45.067
3398.362,45.139
3441.363,43.002
3486.421,45.058
3531.459,45.038
3576.255,44.795
3620.991,44.737
3664.765,43.774
3709.140,44.375
3754.204,45.064
3799.323,45.119
3842.174,42.851
3887.288,45.115
3932.335,45.046
3977.432,45.097
4022.495,45.063
4067.535,45.040
4112.582,45.047
4153.974,41.391
4199.009,45.035
4244.050,45.042
4289.183,45.133
4334.245,45.061
4379.377,45.132
4424.436,45.059
4469.578,45.142
4515.565,45.987
4560.707,45.141
4605.773,45.067
4650.009,44.236
4695.069,45.060
4740.133,45.064
4785.178,45.045
4830.230,45.053
4875.337,45.106
4920.399,45.062
4965.489,45.090
5010.556,45.067
5050.988,40.432
5096.104,45.116
5140.988,44.883
5186.045,45.057
5231.100,45.055
5276.155,45.055
5321.205,45.050
5366.252,45.047
5411.318,45.066
5456.376,45.058
5501.428,45.052
5542.877,41.449
5588.095,45.218
5633.191,45.095
5678.317,45.126
5720.991,42.674
5766.070,45.079
5811.125,45.055
5856.178,45.053
5901.225,45.047
5946.294,45.069
5991.337,45.043
6036.381,45.044
6081.442,45.061
6126.597,45.155
6171.651,45.054
6216.760,45.109
6261.803,45.043
6304.617,42.813
6349.752,45.136
6394.806,45.054
6439.860,45.054
6480.645,40.784
6524.046,43.401
6565.772,41.726
6610.842,45.070
6655.904,45.062
6700.986,45.082
6746.061,45.074
6791.140,45.079
6836.196,45.056
6881.242,45.046
6926.356,45.114
6971.399,45.043
7016.509,45.109
7061.562,45.053
7106.611,45.049
7151.655,45.043
7196.700,45.045
7241.750,45.050
7286.812,45.062
7331.878,45.066
7376.967,45.089
7422.093,45.127
7467.234,45.140
7512.298,45.064
7554.924,42.626
7600.002,45.078
7645.065,45.063
7690.136,45.071
7735.208,45.072
7780.276,45.068
7821.590,41.314
7866.723,45.133
7907.248,40.525
7950.985,43.737
7996.108,45.123
8040.828,44.720
8085.873,45.045
8130.920,45.047
8176.026,45.106
8221.075,45.049
8266.178,45.103
8311.293,45.115
8356.350,45.057
8401.397,45.047
8446.529,45.133
8491.587,45.058
8536.633,45.047
8580.989,44.356
8626.077,45.087
8666.848,40.771
8711.921,45.073
8756.986,45.065
8802.041,45.056
8847.093,45.052
8892.146,45.053
8936.812,44.667
8980.989,44.177
9023.506,42.517
9068.634,45.128
9113.753,45.118
9158.805,45.053
9203.917,45.111
9248.962,45.045
9290.595,41.633
9335.650,45.055
9380.728,45.078
9424.292,43.564
9465.124,40.832
9510.173,45.049
9555.249,45.076
9600.365,45.116
9645.415,45.050
9689.118,43.703
9734.160,45.042
9779.249,45.089
9820.990,41.741
9866.054,45.063
9906.787,40.733
9951.848,45.061
9996.897,45.049
10041.946,45.050
10086.998,45.052
10132.039,45.041
10177.079,45.039
10222.123,45.044
10267.192,45.069
10311.017,43.826
10356.165,45.147
10398.362,42.197
10443.476,45.114
10488.609,45.134
10533.752,45.142
10578.802,45.050
10623.850,45.049
10668.898,45.048
10715.951,47.053
10760.996,45.045
10806.077,45.081
10850.869,44.792
10893.155,42.286
10935.092,41.937
10980.147,45.055
11025.192,45.045
11070.286,45.095
11115.399,45.112
11160.447,45.048
11200.986,40.539
11245.933,44.948
11290.985,45.051
11336.104,45.119
11381.155,45.052
11426.223,45.067
11470.925,44.703
11516.011,45.086
11561.026,45.015
11606.146,45.120
11651.198,45.052
11694.416,43.218
11738.429,44.013
11780.149,41.720
11825.272,45.123
11870.370,45.098
11915.427,45.056
11960.574,45.147
12005.631,45.057
12045.774,40.143
12090.896,45.122
12132.167,41.270
12177.215,45.048
12222.289,45.074
12267.354,45.065
12312.418,45.064
12357.531,45.112
12399.847,42.316
12440.931,41.084
12485.180,44.249
12530.244,45.064
12575.366,45.122
12618.361,42.995
12663.438,45.077
12708.484,45.046
12753.530,45.046
12795.548,42.019
12840.613,45.065
12885.746,45.133
12930.874,45.127
12975.971,45.097
13021.021,45.050
13066.141,45.120
13110.982,44.841
13156.060,45.077
13200.985,44.925
13246.108,45.123
13291.155,45.046
13336.204,45.050
13381.259,45.054
13426.311,45.053
13471.372,45.061
13516.428,45.056
13561.478,45.050
13606.556,45.077
13651.671,45.115
13696.800,45.130
13740.988,44.188
13786.124,45.136
13827.821,41.697
13872.872,45.051
13917.936,45.064
13963.010,45.074
14005.101,42.091
14050.164,45.062
14095.290,45.126
14140.389,45.099
14185.445,45.056
14230.558,45.112
14274.044,43.486
14319.111,45.067
14364.163,45.052
14408.389,44.226
14451.067,42.678
14496.203,45.136
14541.271,45.068
14586.350,45.078
14630.987,44.637
14676.055,45.068
14721.101,45.046
14766.209,45.107
14811.265,45.056
14856.340,45.075
14899.119,42.779
14942.885,43.766
14987.954,45.070
15033.006,45.051
15078.059,45.053
15123.114,45.056
15168.180,45.066
15213.224,45.044
15258.291,45.067
15303.345,45.054
15348.462,45.118
15393.518,45.055
15438.600,45.082
15483.662,45.062
15524.049,40.387
15569.112,45.063
15610.988,41.876
15656.067,45.079
15698.777,42.710
15743.849,45.072
15788.899,45.050
15833.948,45.050
15879.016,45.067
15924.331,45.316
15969.398,45.066
16014.464,45.066
16059.534,45.070
16104.583,45.049
16149.627,45.044
16189.822,40.195
16230.986,41.164
16276.103,45.117
16321.162,45.059
16366.222,45.061
16408.740,42.517
16453.823,45.083
16498.894,45.072
16540.985,42.091
16586.067,45.082
16631.121,45.053
16676.219,45.098
16721.274,45.055
16766.393,45.119
