label=QoSThread-40ms intervalMs=40.000 duration=3600.000s
t(ms),dt(ms)
41.090,41.090
86.172,45.082
131.314,45.142
176.393,45.079
216.885,40.492
261.975,45.089
307.079,45.104
351.555,44.476
396.635,45.080
441.717,45.082
486.813,45.096
531.893,45.080
576.967,45.073
622.051,45.084
667.232,45.182
712.320,45.088
757.441,45.120
802.502,45.061
847.643,45.141
892.736,45.093
937.793,45.057
981.287,43.495
1026.449,45.162
1071.519,45.070
1113.757,42.237
1158.824,45.067
1203.070,44.246
1248.144,45.075
1293.193,45.049
1338.243,45.050
1383.296,45.053
1428.416,45.120
1473.464,45.048
1518.512,45.048
1563.583,45.070
1604.660,41.077
1649.795,45.135
1694.544,44.748
1739.605,45.061
1781.280,41.676
1826.331,45.051
1871.463,45.132
1914.606,43.143
1959.665,45.059
2004.735,45.071
2049.854,45.118
2094.911,45.058
2139.954,45.042
2185.073,45.119
2229.604,44.531
2274.655,45.051
2319.772,45.117
2364.829,45.056
2409.870,45.041
2454.936,45.066
2499.982,45.047
2543.765,43.782
2588.895,45.130
2633.954,45.059
2679.004,45.049
2724.056,45.052
2769.129,45.073
2814.188,45.059
2856.354,42.166
2901.403,45.049
2945.492,44.088
2990.609,45.117
3035.673,45.065
3080.822,45.148
3125.884,45.062
3170.993,45.109
3216.035,45.042
3261.085,45.050
3306.136,45.051
3351.197,45.061
3396.260,45.062
3441.310,45.051
3486.364,45.054
3531.417,45.053
3573.123,41.706
3614.078,40.956
3659.144,45.066
3704.198,45.054
3749.327,45.129
3794.474,45.147
3839.628,45.154
3884.705,45.077
3929.755,45.050
3973.131,43.376
4015.573,42.443
4060.715,45.142
4105.796,45.081
4150.866,45.070
4195.936,45.071
4241.006,45.069
4286.056,45.051
4326.188,40.132
4371.312,45.124
4413.122,41.810
4458.232,45.110
4503.370,45.138
4546.675,43.304
4588.339,41.664
4633.415,45.076
4678.487,45.072
4723.603,45.116
4768.729,45.126
4813.130,44.400
4858.273,45.143
4900.068,41.795
4945.127,45.059
4990.302,45.175
5035.386,45.084
5080.578,45.193
5125.647,45.068
5170.781,45.134
5214.841,44.060
5259.963,45.122
5303.123,43.160
5348.179,45.056
5393.228,45.049
5438.358,45.130
5481.354,42.996
5526.427,45.073
5571.501,45.075
5616.608,45.107
5661.684,45.076
5706.797,45.113
5751.866,45.069
5797.007,45.141
5842.072,45.066
5887.138,45.065
5932.207,45.069
5977.274,45.067
6022.342,45.068
6067.404,45.062
6112.534,45.130
6157.666,45.132
6201.168,43.502
6246.236,45.068
6291.280,45.044
6336.386,45.106
6381.429,45.043
6426.469,45.040
6471.510,45.041
6515.349,43.840
6557.691,42.341
6602.744,45.053
6647.792,45.048
6692.844,45.052
6735.202,42.358
6780.371,45.169
6823.127,42.755
6868.282,45.156
6913.153,44.871
6953.289,40.136
6998.401,45.112
7043.461,45.060
7088.585,45.124
7133.650,45.064
7178.765,45.115
7223.125,44.360
7268.194,45.069
7313.238,45.045
7358.303,45.065
7403.345,45.042
7448.461,45.116
7493.513,45.052
7538.589,45.076
7581.288,42.699
7626.335,45.047
7671.377,45.043
7716.494,45.117
7761.640,45.146
7803.006,41.366
7848.097,45.091
7893.166,45.069
7939.206,46.041
7984.248,45.042
8029.314,45.066
8074.369,45.054
8119.447,45.079
8164.504,45.057
8209.554,45.050
8254.604,45.050
8299.661,45.057
8344.714,45.053
8389.782,45.068
8434.831,45.049
8479.664,44.833
8524.790,45.126
8569.835,45.045
8614.900,45.065
8659.944,45.044
8705.005,45.061
8750.095,45.089
8795.160,45.066
8840.212,45.052
8885.304,45.092
8930.427,45.123
8975.556,45.129
9020.675,45.119
9065.759,45.085
9110.825,45.066
9151.310,40.484
9193.131,41.822
9238.208,45.076
9283.262,45.054
9328.385,45.123
9373.122,44.737
9418.241,45.119
9463.294,45.053
9508.416,45.123
9553.122,44.705
9598.256,45.134
9639.497,41.241
9684.564,45.067
9729.651,45.086
