label=BGProcessing-40ms intervalMs=40.000 duration=30.000s
t(ms),dt(ms)
45.139,45.139
81.296,36.157
121.266,39.970
161.277,40.011
201.253,39.976
245.128,43.875
281.262,36.135
321.276,40.013
361.265,39.989
400.515,39.250
445.075,44.560
484.425,39.350
525.080,40.655
561.264,36.184
604.284,43.020
645.060,40.776
681.238,36.178
721.278,40.040
763.673,42.395
802.498,38.825
840.331,37.832
881.611,41.281
921.255,39.643
965.089,43.835
1001.236,36.147
1042.343,41.107
1085.105,42.762
1121.220,36.115
1161.526,40.306
1201.284,39.757
1240.347,39.063
1281.242,40.895
1321.303,40.061
1363.445,42.142
1401.256,37.811
1445.091,43.834
1481.255,36.164
1521.308,40.053
1565.138,43.830
1605.099,39.961
1645.139,40.041
1681.269,36.130
1721.289,40.020
1761.249,39.960
1801.254,40.005
1845.073,43.819
1881.251,36.178
1921.298,40.047
1963.226,41.928
2001.248,38.022
2045.073,43.826
2081.253,36.179
2121.268,40.015
2161.286,40.018
2201.256,39.970
2245.058,43.802
2281.283,36.225
2321.772,40.489
2361.332,39.560
2400.408,39.076
2445.094,44.686
2481.255,36.161
2523.745,42.490
2561.292,37.547
2605.066,43.775
2645.060,39.993
2685.059,39.999
2721.269,36.210
2764.028,42.759
2805.083,41.056
2845.105,40.022
2885.058,39.953
2921.337,36.279
2961.790,40.453
3005.354,43.564
3045.062,39.708
3081.231,36.169
3121.316,40.086
3161.281,39.965
3205.059,43.778
3245.077,40.018
3281.252,36.175
3321.269,40.017
3361.272,40.003
3405.074,43.803
3440.813,35.739
3481.269,40.456
3521.287,40.017
3561.278,39.991
3600.601,39.323
3645.070,44.468
3680.268,35.198
3725.064,44.796
3761.277,36.213
3802.412,41.135
3845.063,42.651
3881.224,36.161
3921.224,40.001
3961.166,39.942
4001.211,40.044
4041.187,39.977
4081.189,40.001
4121.266,40.078
4161.275,40.009
4201.262,39.987
4243.194,41.932
4281.193,37.999
4321.280,40.087
4361.263,39.982
4400.476,39.214
4445.122,44.646
4481.242,36.119
4521.340,40.098
4565.102,43.762
4601.271,36.169
4641.155,39.884
4681.200,40.045
4721.250,40.050
4761.267,40.017
4805.061,43.795
4845.060,39.998
4881.263,36.203
4925.106,43.843
4962.881,37.775
5003.191,40.310
5045.107,41.915
5081.213,36.106
