plain NO-BG timer intervalMs=40.000 duration=30.000s
t(ms),dt(ms)
40.190,40.190
81.109,40.919
121.108,40.000
160.291,39.183
201.138,40.847
240.587,39.448
285.128,44.541
323.963,38.835
365.086,41.123
403.316,38.230
440.961,37.645
485.146,44.185
524.951,39.805
563.330,38.379
603.623,40.294
641.766,38.142
681.910,40.144
724.716,42.807
765.104,40.388
803.937,38.833
842.011,38.074
885.147,43.136
924.930,39.783
960.673,35.743
1004.184,43.511
1044.060,39.875
1084.952,40.892
1121.086,36.134
1161.183,40.097
1204.528,43.345
1244.487,39.959
1282.570,38.083
1321.374,38.804
1361.151,39.777
1404.832,43.681
1444.480,39.648
1480.281,35.801
1521.777,41.497
1561.153,39.376
1601.811,40.658
1644.465,42.654
1685.126,40.661
1722.001,36.876
1761.132,39.131
1801.864,40.732
1844.149,42.285
1885.069,40.920
1922.313,37.244
1964.775,42.462
2005.130,40.356
2041.561,36.431
2083.007,41.446
2124.439,41.432
2163.252,38.814
2201.943,38.690
2243.989,42.047
2285.095,41.106
2322.965,37.870
2360.722,37.757
2404.890,44.168
2444.173,39.283
2485.060,40.887
2523.324,38.264
2561.071,37.747
2602.049,40.978
2644.457,42.408
2685.139,40.682
2723.701,38.562
2761.139,37.437
2800.784,39.646
2844.461,43.677
2882.889,38.427
2923.924,41.036
2961.154,37.230
3001.519,40.365
3044.465,42.946
3080.614,36.149
3124.284,43.671
3161.136,36.851
3201.865,40.729
3244.484,42.619
3285.104,40.620
3324.591,39.487
3361.528,36.937
3401.945,40.417
3443.619,41.674
3485.062,41.443
3524.919,39.857
3562.669,37.751
3601.904,39.235
3643.806,41.901
3685.057,41.251
3724.563,39.506
3760.510,35.947
3805.130,44.620
3844.185,39.055
3880.201,36.016
3922.006,41.805
3960.728,38.722
4005.077,44.349
4044.520,39.442
4085.058,40.538
4120.690,35.632
4160.884,40.195
4202.998,42.114
4244.769,41.770
4285.140,40.371
4325.063,39.923
4361.138,36.075
4400.896,39.758
4444.466,43.570
4483.105,38.638
4521.946,38.842
4561.188,39.242
4605.065,43.877
4644.471,39.406
4680.985,36.514
4721.946,40.961
4760.335,38.389
4801.912,41.577
4844.465,42.552
4885.082,40.618
4921.903,36.821
4960.627,38.724
5002.033,41.405
5044.503,42.471
5084.793,40.290
5121.896,37.102
5160.986,39.091
5201.917,40.931
5244.326,42.409
5285.101,40.775
5324.859,39.758
5361.212,36.353
5403.515,42.303
5443.890,40.374
5485.157,41.268
5522.214,37.057
5561.531,39.317
5601.888,40.357
5644.151,42.264
5680.584,36.432
5720.783,40.200
5761.845,41.062
5803.240,41.395
5844.353,41.114
5880.882,36.528
5920.340,39.458
5962.134,41.794
6001.059,38.926
6044.459,43.400
6083.327,38.868
6121.889,38.562
6162.464,40.575
6205.142,42.678
6241.893,36.750
6281.732,39.839
6321.623,39.892
6364.155,42.532
6401.887,37.732
6441.872,39.985
6481.843,39.971
6521.820,39.977
6563.105,41.284
6601.890,38.786
6644.604,42.714
6682.181,37.576
6725.140,42.959
6763.635,38.495
6805.128,41.493
6841.894,36.766
6882.525,40.631
6925.159,42.634
6964.097,38.938
7005.073,40.976
7040.697,35.624
7082.874,42.177
7122.391,39.518
7164.257,41.865
7205.174,40.917
7244.209,39.036
7283.212,39.003
7321.093,37.881
7364.637,43.544
7403.474,38.837
7441.883,38.409
7483.511,41.628
7525.124,41.613
7564.937,39.813
7601.497,36.560
7644.062,42.565
7683.860,39.798
7725.121,41.261
7761.873,36.752
7805.128,43.256
7841.875,36.747
7884.200,42.325
7923.136,38.936
7964.415,41.279
8005.134,40.719
8041.866,36.732
8084.556,42.691
8125.120,40.564
8161.864,36.743
8205.123,43.260
8244.844,39.720
8285.068,40.224
8325.059,39.991
8360.394,35.335
8405.122,44.728
8441.875,36.753
8481.791,39.916
8525.125,43.334
8565.050,39.925
8605.061,40.011
8640.814,35.753
8681.916,41.102
8723.250,41.335
8761.900,38.650
8800.424,38.524
8845.063,44.638
8881.919,36.857
8920.809,38.890
8962.256,41.447
9003.706,41.450
9041.874,38.169
9081.864,39.990
9125.050,43.186
9160.769,35.718
9201.104,40.335
9241.880,40.776
9284.122,42.242
9322.048,37.927
9365.050,43.001
9401.389,36.339
9441.888,40.499
9482.118,40.230
9520.334,38.217
9564.621,44.287
9601.699,37.078
9644.863,43.164
9685.066,40.203
9723.819,38.754
9761.891,38.072
9802.031,40.140
9845.031,42.999
9881.294,36.263
9920.961,39.668
9960.616,39.655
10002.378,41.761
10042.995,40.617
10081.865,38.870
10121.276,39.411
10162.741,41.465
10202.700,39.959
10241.008,38.309
10281.876,40.868
10323.472,41.595
10361.872,38.400
10403.040,41.169
10445.074,42.034
10483.106,38.031
10521.940,38.834
10561.812,39.872
10603.401,41.590
10645.052,41.650
10681.880,36.828
10722.283,40.404
10761.889,39.606
10803.720,41.830
10845.047,41.327
10884.329,39.282
10922.628,38.299
10961.840,39.212
11004.079,42.239
11045.099,41.020
11082.960,37.861
11122.954,39.994
11161.320,38.365
11204.558,43.238
11245.121,40.563
11285.128,40.006
11323.376,38.249
11361.872,38.496
11404.724,42.852
11445.119,40.394
11484.195,39.076
11523.686,39.491
11565.122,41.436
11605.003,39.881
11645.060,40.057
11681.862,36.802
11724.030,42.168
11765.125,41.095
11801.902,36.777
11845.053,43.150
11881.883,36.830
11924.297,42.414
11961.909,37.612
12005.058,43.149
12045.127,40.069
12081.860,36.733
12124.685,42.825
12163.201,38.516
12201.885,38.683
12245.073,43.189
12281.889,36.816
12324.984,43.095
12365.084,40.099
12401.880,36.797
12445.136,43.255
12481.856,36.721
12521.879,40.022
12565.095,43.216
12601.874,36.779
12640.150,38.276
12685.070,44.920
12721.862,36.792
12765.130,43.268
12805.123,39.993
12840.473,35.351
12881.861,41.388
12921.859,39.998
12962.303,40.444
13001.867,39.564
13040.907,39.040
13081.866,40.959
13124.261,42.394
13160.192,35.932
13201.915,41.722
13240.867,38.952
13281.865,40.998
13321.861,39.997
13365.049,43.187
13401.858,36.809
13441.154,39.297
13481.899,40.744
13521.860,39.961
13565.049,43.189
13601.878,36.829
13641.459,39.581
13681.883,40.424
13721.878,39.994
13760.425,38.547
13801.872,41.447
13841.743,39.871
13881.858,40.115
13921.864,40.006
13960.681,38.818
14003.798,43.116
14042.051,38.253
14081.859,39.808
14121.869,40.010
14160.950,39.081
14201.870,40.919
14244.405,42.535
14285.073,40.669
14321.879,36.805
14361.313,39.434
14401.196,39.883
14442.618,41.421
14481.865,39.248
14521.901,40.036
14561.542,39.641
14605.018,43.476
14644.861,39.843
14682.866,38.005
14721.867,39.001
14761.877,40.009
14801.882,40.006
14843.202,41.320
14881.855,38.653
14925.042,43.187
14962.141,37.099
15001.936,39.795
15043.505,41.569
15085.190,41.685
15121.900,36.710
15162.424,40.524
15201.882,39.457
15241.809,39.927
15285.126,43.317
15321.865,36.739
15362.722,40.857
15401.881,39.159
15441.931,40.051
15485.119,43.188
15521.863,36.744
15562.995,41.132
15601.867,38.872
15641.881,40.014
15685.119,43.238
15725.051,39.932
15763.291,38.240
15801.894,38.602
15841.879,39.985
15885.121,43.242
15922.014,36.893
15963.606,41.592
16001.866,38.259
16041.899,40.033
16085.125,43.227
16121.889,36.763
16163.934,42.045
16201.890,37.956
16241.862,39.971
16285.066,43.204
16321.871,36.805
16364.229,42.359
16401.888,37.659
16441.887,39.998
16485.120,43.233
16521.885,36.765
16564.482,42.597
16601.857,37.374
16641.886,40.029
16685.079,43.194
16720.876,35.797
16764.696,43.820
16805.078,40.382
16845.123,40.045
16885.127,40.005
16921.909,36.782
16965.094,43.185
17001.895,36.801
17041.861,39.966
17085.086,43.225
17121.862,36.776
17163.205,41.343
17201.858,38.654
17241.862,40.003
17285.070,43.208
17321.865,36.795
17365.068,43.203
17401.859,36.791
17445.122,43.263
17480.433,35.311
17525.057,44.623
17561.862,36.805
17605.124,43.262
17641.859,36.735
17680.738,38.879
17721.399,40.661
17761.856,40.457
17805.049,43.193
17841.861,36.812
17881.060,39.198
17921.843,40.783
17961.859,40.016
18005.111,43.252
18041.901,36.789
18081.354,39.453
18121.824,40.470
18161.869,40.045
18201.868,39.999
18245.079,43.211
18284.334,39.255
18321.864,37.530
18361.863,39.998
18401.864,40.001
18441.872,40.008
18481.885,40.013
18521.879,39.994
18561.933,40.055
18601.874,39.940
18641.862,39.989
18682.136,40.273
18721.867,39.732
18761.864,39.997
18801.863,39.999
18841.890,40.027
18882.462,40.572
18921.872,39.410
18961.869,39.997
19005.065,43.197
19041.874,36.808
19082.738,40.865
19121.867,39.129
19161.847,39.980
19205.056,43.209
19241.891,36.835
19283.031,41.140
19321.862,38.831
19361.877,40.015
19401.866,39.989
19441.936,40.070
19483.335,41.399
19521.849,38.514
19561.907,40.058
19601.547,39.640
19644.857,43.310
19683.624,38.767
19721.862,38.239
19761.841,39.979
19801.887,40.046
19841.861,39.974
19883.906,42.044
19921.857,37.951
19961.850,39.994
20001.850,39.999
20041.887,40.037
20084.199,42.312
20121.889,37.689
20165.054,43.165
20201.875,36.821
20244.196,42.321
20284.496,40.300
20321.870,37.374
20361.878,40.008
20401.844,39.966
20441.876,40.032
20484.830,42.955
20521.862,37.032
20561.905,40.043
20601.919,40.014
20645.121,43.203
20685.081,39.959
20721.862,36.782
20761.877,40.014
20801.866,39.989
20845.120,43.254
20881.880,36.760
20925.067,43.187
20960.582,35.515
21001.429,40.847
21045.091,43.662
21081.883,36.792
21120.572,38.689
21163.912,43.341
21201.867,37.955
21245.122,43.255
21281.866,36.744
21321.882,40.016
21361.903,40.021
21401.859,39.956
21445.090,43.231
21481.861,36.771
21521.862,40.001
21561.869,40.008
21601.857,39.987
21645.117,43.261
21681.358,36.241
21721.862,40.504
21760.600,38.738
21801.870,41.271
21845.059,43.188
21885.117,40.058
21921.857,36.740
21961.858,40.001
22001.873,40.015
22041.825,39.952
22081.861,40.036
22121.859,39.998
22163.199,41.340
22201.858,38.659
22245.078,43.220
22285.062,39.984
22321.870,36.809
22365.053,43.183
22405.053,40.000
22445.057,40.003
22481.898,36.841
22521.872,39.974
22561.880,40.008
22601.899,40.019
22645.122,43.223
22681.880,36.759
22721.866,39.986
22761.863,39.997
22805.054,43.191
22840.326,35.272
22881.832,41.507
22925.184,43.351
22961.923,36.739
23000.112,38.189
23040.636,40.524
23081.883,41.247
23121.866,39.983
23160.737,38.871
23201.895,41.157
23240.936,39.041
23281.859,40.923
23325.069,43.210
23361.887,36.818
23401.876,39.989
23441.215,39.339
23481.936,40.721
23521.883,39.947
23565.124,43.241
23601.927,36.803
23641.557,39.630
23685.122,43.565
23721.895,36.774
23765.066,43.170
23801.881,36.815
23841.849,39.968
23881.896,40.047
23921.861,39.965
23960.706,38.845
24003.902,43.197
24042.095,38.192
24081.880,39.786
24121.863,39.982
24165.067,43.204
24201.861,36.794
24242.389,40.528
24281.895,39.506
24325.053,43.158
24365.061,40.008
24401.861,36.799
24442.645,40.784
24481.863,39.219
24521.874,40.011
24565.123,43.249
24601.868,36.745
24644.874,43.007
24685.053,40.179
24721.887,36.834
24765.072,43.186
24801.885,36.812
24843.238,41.353
24885.122,41.884
24921.688,36.567
24963.034,41.345
25001.936,38.903
25043.555,41.618
25081.869,38.314
25121.862,39.993
25161.676,39.814
25205.055,43.379
25243.833,38.778
25281.886,38.053
25321.932,40.046
25365.131,43.200
25405.067,39.936
25444.162,39.095
25481.904,37.741
25521.907,40.004
25565.073,43.166
25601.790,36.717
25644.425,42.634
25680.651,36.226
25721.870,41.219
25765.125,43.255
25803.963,38.838
25844.693,40.731
25881.857,37.163
25921.879,40.022
25965.076,43.197
26005.086,40.010
26045.015,39.930
26081.881,36.866
26121.888,40.008
26165.077,43.189
26201.881,36.804
26241.885,40.003
26281.866,39.981
26323.945,42.079
26365.050,41.105
26401.875,36.825
26441.904,40.029
26481.881,39.977
26525.134,43.253
26560.350,35.216
26601.874,41.524
26641.879,40.006
26681.876,39.996
26721.862,39.986
26760.654,38.791
26801.672,41.018
26841.860,40.188
26885.134,43.274
26920.606,35.472
26960.947,40.341
27004.943,43.996
27045.061,40.118
27081.874,36.813
27121.891,40.017
27163.188,41.297
27201.880,38.692
27241.417,39.537
27285.068,43.651
27321.870,36.802
27361.537,39.667
27401.871,40.334
27442.872,41.001
27481.879,39.007
27525.059,43.180
27561.819,36.760
27601.881,40.063
27645.020,43.139
27681.871,36.851
27721.876,40.005
27762.100,40.224
27801.891,39.792
27841.876,39.985
27881.857,39.981
27921.875,40.018
27962.419,40.545
28005.060,42.640
28041.869,36.809
28081.863,39.993
28121.859,39.996
28162.707,40.848
28205.048,42.341
28241.907,36.859
28281.858,39.951
28321.846,39.988
28362.981,41.136
28400.920,37.938
28445.073,44.154
28481.858,36.785
28521.884,40.026
28563.354,41.470
28601.867,38.512
28641.866,39.999
28681.859,39.994
28721.835,39.976
28764.917,43.082
28801.864,36.947
28845.133,43.268
28881.873,36.740
28925.057,43.184
28963.875,38.817
29005.124,41.249
29041.911,36.787
29085.053,43.143
