plain GCD timer intervalMs=40.000 duration=30.000s
t(ms),dt(ms)
41.102,41.102
81.046,39.944
121.135,40.089
160.857,39.722
201.118,40.261
241.082,39.965
282.265,41.183
325.228,42.963
361.230,36.002
405.154,43.924
444.688,39.534
482.352,37.664
524.598,42.246
561.549,36.952
604.878,43.328
645.086,40.208
682.689,37.604
722.470,39.780
761.856,39.386
805.200,43.345
844.891,39.691
883.040,38.148
925.402,42.362
964.237,38.836
1005.219,40.982
1045.134,39.916
1081.118,35.983
1121.882,40.764
1165.244,43.363
1202.407,37.163
1245.160,42.753
1281.450,36.290
1325.156,43.706
1365.131,39.975
1405.150,40.019
1445.153,40.003
1481.773,36.620
1523.840,42.067
1564.774,40.934
1605.150,40.376
1642.879,37.729
1682.106,39.227
1723.758,41.652
1765.148,41.390
1805.160,40.012
1845.143,39.983
1882.436,37.293
1925.071,42.635
1965.158,40.086
2005.122,39.964
2045.150,40.029
2082.796,37.645
2122.703,39.907
2162.681,39.978
2205.184,42.503
2245.082,39.898
2283.053,37.971
2324.879,41.826
2365.149,40.270
2401.476,36.327
2445.145,43.668
2483.383,38.238
2524.368,40.985
2565.144,40.776
2605.184,40.040
2645.125,39.941
2683.684,38.559
2725.134,41.450
2765.143,40.009
2805.154,40.011
2845.197,40.043
2884.081,38.884
2925.160,41.080
2965.130,39.969
3005.154,40.024
3045.134,39.981
3084.329,39.195
3125.058,40.729
3165.128,40.069
3205.134,40.007
3241.514,36.380
3284.684,43.171
3325.100,40.415
3363.309,38.209
3405.152,41.843
3445.133,39.981
3484.990,39.857
3523.768,38.778
3565.132,41.364
3605.158,40.027
3645.134,39.976
3685.053,39.919
3725.133,40.081
3765.134,40.001
3805.136,40.002
3840.853,35.717
3885.052,44.198
3925.132,40.081
3965.150,40.017
4000.382,35.233
4045.060,44.677
4085.452,40.393
4122.985,37.533
4165.141,42.156
4200.707,35.566
4245.130,44.422
4285.152,40.022
4321.035,35.883
4365.228,44.193
4401.068,35.839
4445.149,44.081
4481.971,36.823
4524.085,42.113
4565.129,41.045
4601.370,36.240
4645.128,43.759
4685.088,39.959
4725.159,40.071
4765.136,39.976
4801.676,36.540
4845.126,43.450
4885.129,40.004
4925.172,40.043
4965.139,39.967
5001.995,36.857
5044.106,42.111
5080.769,36.663
5125.132,44.363
5165.055,39.923
5202.359,37.303
5245.141,42.782
5285.158,40.017
5325.173,40.015
5365.157,39.983
5402.778,37.622
5445.146,42.368
5485.130,39.984
5525.123,39.993
5565.158,40.035
5602.993,37.835
5645.141,42.148
5685.138,39.997
5725.134,39.996
5765.139,40.005
5803.315,38.177
5845.147,41.832
5885.128,39.981
5920.588,35.460
5965.145,44.557
6003.605,38.460
6045.128,41.523
6085.137,40.010
6125.136,39.998
6161.441,36.305
6203.980,42.539
6241.020,37.040
6285.204,44.184
6325.103,39.900
6363.611,38.507
6404.384,40.773
6445.146,40.762
6485.137,39.991
6522.510,37.373
6565.135,42.625
6604.586,39.451
6641.874,37.288
6685.153,43.279
6723.835,38.682
6765.132,41.298
6804.949,39.817
6845.147,40.197
6885.123,39.976
6925.131,40.007
6965.165,40.035
7001.933,36.767
7045.160,43.228
7085.146,39.985
7125.148,40.002
7162.625,37.477
7205.120,42.495
7245.138,40.018
7281.718,36.580
7325.107,43.389
7365.135,40.027
7401.530,36.396
7445.149,43.619
7485.176,40.027
7522.770,37.593
7565.126,42.356
7605.070,39.944
7644.031,38.961
7685.133,41.102
7722.699,37.567
7765.135,42.436
7805.057,39.921
7845.130,40.073
7882.561,37.432
7922.768,40.206
7965.144,42.376
8005.050,39.906
8044.951,39.901
8085.134,40.184
8125.131,39.997
8161.598,36.467
8205.052,43.454
8245.062,40.011
8283.608,38.546
8325.069,41.461
8362.854,37.785
8401.560,38.706
8445.054,43.494
8485.135,40.081
8525.128,39.994
8562.809,37.681
8605.137,42.327
8642.058,36.922
8685.143,43.085
8725.153,40.010
8762.861,37.708
8804.453,41.592
8845.193,40.740
8885.136,39.943
8923.813,38.676
8962.830,39.017
9004.076,41.247
9045.052,40.976
9085.134,40.082
9125.220,40.086
9162.834,37.614
9205.136,42.302
9245.130,39.994
9285.137,40.008
9325.179,40.041
9362.787,37.608
9401.532,38.744
9445.053,43.522
9485.139,40.086
9525.139,40.000
9562.813,37.673
9605.143,42.330
9645.121,39.978
9685.125,40.004
9725.143,40.018
9762.810,37.667
9805.133,42.323
9845.063,39.929
9885.134,40.072
9925.105,39.971
9962.047,36.941
10002.656,40.609
10041.165,38.509
10081.446,40.281
10125.201,43.755
10162.426,37.225
10205.133,42.707
10245.126,39.993
10283.574,38.448
10323.926,40.352
10362.754,38.829
10401.544,38.790
10445.047,43.503
10485.185,40.137
10525.125,39.941
10563.017,37.892
10605.147,42.130
10645.119,39.973
10685.129,40.010
10725.146,40.017
10763.317,38.171
10805.137,41.820
10845.132,39.994
10885.142,40.011
10925.133,39.990
10963.665,38.532
11005.157,41.492
11045.048,39.891
11085.114,40.066
11125.129,40.015
11163.966,38.836
11205.186,41.221
11245.128,39.942
11285.147,40.019
11322.695,37.548
11364.360,41.665
11401.531,37.170
11442.547,41.016
11481.438,38.891
11525.132,43.694
11564.603,39.471
11605.128,40.525
11642.866,37.738
11683.542,40.676
11723.728,40.185
11764.923,41.195
11803.631,38.708
11843.485,39.854
11885.151,41.666
11925.146,39.995
11962.811,37.665
12005.161,42.350
12045.053,39.892
12083.681,38.627
12125.149,41.468
12162.602,37.453
12205.129,42.527
12240.207,35.078
12280.335,40.128
12325.133,44.798
12363.510,38.378
12405.170,41.660
12442.319,37.149
12480.662,38.344
12520.393,39.730
12562.832,42.439
12603.306,40.474
12644.325,41.019
12680.977,36.652
12725.133,44.156
12762.776,37.644
12805.126,42.349
12845.048,39.922
12881.305,36.256
12925.134,43.829
12962.788,37.654
